Date,Open,High,Low,Close,Volume
9/11/2020,27613.86,27828.82,27448.15,27665.64,435330000
9/10/2020,28022.51,28174.78,27447.08,27534.58,442850000
9/9/2020,27711.71,28206.21,27704.54,27940.47,460590000
9/8/2020,27925.23,27925.23,27464.9,27500.89,580860000
9/4/2020,28341.05,28539.75,27664.68,28133.31,694640000
9/3/2020,29090.7,29199.35,28074.76,28292.73,650080000
9/2/2020,28736.79,29162.88,28713.53,29100.5,539510000
9/1/2020,28439.61,28659.26,28290.72,28645.66,423410000
8/31/2020,28643.66,28643.66,28363.55,28430.05,517320000
8/28/2020,28601.29,28733.35,28487.98,28653.87,369740000
8/27/2020,28384.07,28634.22,28363.93,28492.27,404340000
8/26/2020,28257.88,28353.8,28153.91,28331.92,327070000
8/25/2020,28347.42,28400.74,28094.57,28248.44,338420000
8/24/2020,28077.58,28314.94,28041.75,28308.46,383880000
8/21/2020,27758.13,27959.48,27686.78,27930.33,372720000
8/20/2020,27622.68,27781.46,27526.25,27739.73,304550000
8/19/2020,27811.26,27920.42,27647.67,27692.88,311460000
8/18/2020,27853.48,27891.12,27668.79,27778.07,276170000
8/17/2020,27970.05,27999.81,27816.4,27844.91,286860000
8/14/2020,27828.93,27977.81,27759.39,27931.02,275540000
8/13/2020,27922.51,27986.1,27789.78,27896.72,360160000
8/12/2020,27860.24,28043.89,27843.32,27976.84,340210000
8/11/2020,27961.64,28154.88,27624.51,27686.91,428220000
8/10/2020,27488.21,27803.86,27488.21,27791.44,360340000
8/7/2020,27321.68,27456.24,27223.55,27433.48,321170000
8/6/2020,27170.82,27394.1,27145.25,27386.98,322460000
8/5/2020,26924.78,27221.67,26924.78,27201.52,366000000
8/4/2020,26664.61,26832.72,26597.82,26828.47,346350000
8/3/2020,26542.32,26707.26,26534.38,26664.4,439380000
7/31/2020,26409.33,26440.02,26013.59,26428.32,488050000
7/30/2020,26367.42,26374.93,25992.28,26313.65,351540000
7/29/2020,26388.44,26602.45,26375.39,26539.57,347580000
7/28/2020,26529.45,26556.84,26361.71,26379.28,361090000
7/27/2020,26447.67,26625.46,26426.92,26584.77,400930000
7/24/2020,26533.41,26625.7,26402.86,26469.89,494170000
7/23/2020,26955.97,26973.85,26560.04,26652.33,419800000
7/22/2020,26824.56,27035.24,26794.19,27005.84,404340000
7/21/2020,26833.14,27025.38,26766.22,26840.4,364930000
7/20/2020,26660.29,26765.02,26504.2,26680.87,309390000
7/17/2020,26774.62,26808.43,26619.88,26671.95,296460000
7/16/2020,26746.57,26879.16,26590.01,26734.71,287330000
7/15/2020,27009.81,27071.33,26692.48,26870.1,384900000
7/14/2020,26044.17,26690.52,25994.98,26642.59,401640000
7/13/2020,26225.07,26639.09,26044.23,26085.8,425320000
7/10/2020,25690.35,26101.32,25637.5,26075.3,338170000
7/9/2020,26094.92,26103.28,25523.51,25706.09,387610000
7/8/2020,25950.06,26109.49,25816.25,26067.28,337300000
7/7/2020,26172.01,26174.93,25866.58,25890.18,346820000
7/6/2020,25996.08,26297.53,25996.08,26287.03,340690000
7/2/2020,25936.45,26204.41,25778.12,25827.36,349130000
7/1/2020,25879.38,26019.31,25713.61,25734.97,373180000
6/30/2020,25512.43,25905.38,25475.14,25812.88,410780000
6/29/2020,25152.45,25601.15,25096.16,25595.8,378070000
6/26/2020,25641.69,25641.69,24971.03,25015.55,640860000
6/25/2020,25365.22,25769.61,25209.79,25745.6,384560000
6/24/2020,25992.96,25992.96,25296.73,25445.94,450120000
6/23/2020,26159.39,26314.97,26105.97,26156.1,389980000
6/22/2020,25865.08,26059.81,25667.68,26024.96,351780000
6/19/2020,26213.1,26451.44,25759.66,25871.46,669390000
6/18/2020,26016.45,26154.2,25848.53,26080.1,328390000
6/17/2020,26330.52,26400.07,26068.41,26119.61,328830000
